呼び径,配管径(mm),肉圧(mm),内径(D)(mm),摩擦係数
10A,17.3,1.2,14.9,0.028
15A,21.7,2.1,17.5,0.026
20A,27.2,2.1,23,0.0245
25A,34,2.8,28.4,0.023
32A,42.7,2.8,37.1,0.02
40A,48.6,2.8,43,0.019
50A,60.5,2.8,54.9,0.018
65A,76.3,3,70.3,0.017
80A,89.1,3,83.1,0.016
100A,114.3,3,108.3,0.015
125A,139.8,3.4,133,0.015
150A,165.2,3.4,158.4,0.015
200A,216.3,4,208.3,0.015
250A,318.5,45,228.5,0.015
350A,355.6,50,255.6,0.015
300A,267.4,4,259.4,0.015
400A,406.4,50,306.4,0.015
450A,457.2,50,357.2,0.015
500A,508,55,398,0.015
550A,558.8,55,448.8,0.015
