呼び径,配管径(mm),肉圧(mm),内径(D)(mm),摩擦係数
1/4",6.35,1,4.35,0.028
3/8",9.53,1,7.53,0.028
1/2",12.7,1,10.7,0.026
3/4",19.05,1.65,15.75,0.026
1",25.4,1.65,22.1,0.0245
